Assembly_ID	Contig_ID	Length
Assembly_B	Assembly_B_contig_35	3566
Assembly_B	Assembly_B_contig_36	3525
Assembly_B	Assembly_B_contig_37	3507
Assembly_B	Assembly_B_contig_38	3490
Assembly_B	Assembly_B_contig_39	3480
Assembly_B	Assembly_B_contig_40	3363
Assembly_B	Assembly_B_contig_41	3347
Assembly_B	Assembly_B_contig_42	3326
Assembly_B	Assembly_B_contig_43	3248
Assembly_B	Assembly_B_contig_44	3215
Assembly_B	Assembly_B_contig_45	3215
Assembly_B	Assembly_B_contig_46	3185
Assembly_B	Assembly_B_contig_47	3145
Assembly_B	Assembly_B_contig_48	3142
Assembly_B	Assembly_B_contig_49	3114
Assembly_B	Assembly_B_contig_50	3112
Assembly_B	Assembly_B_contig_51	3065
Assembly_B	Assembly_B_contig_52	3063
Assembly_B	Assembly_B_contig_53	3061
Assembly_B	Assembly_B_contig_54	2994
Assembly_B	Assembly_B_contig_55	2938
Assembly_B	Assembly_B_contig_56	2924
Assembly_B	Assembly_B_contig_57	2920
Assembly_B	Assembly_B_contig_58	2904
Assembly_B	Assembly_B_contig_59	2821
Assembly_B	Assembly_B_contig_60	2717
Assembly_B	Assembly_B_contig_61	2708
Assembly_B	Assembly_B_contig_62	2705
Assembly_B	Assembly_B_contig_63	2693
Assembly_B	Assembly_B_contig_64	2670
Assembly_B	Assembly_B_contig_65	2666
Assembly_B	Assembly_B_contig_66	2633
Assembly_B	Assembly_B_contig_67	2630
Assembly_B	Assembly_B_contig_68	2626
Assembly_B	Assembly_B_contig_69	2621
Assembly_B	Assembly_B_contig_70	2610
Assembly_B	Assembly_B_contig_71	2606
Assembly_B	Assembly_B_contig_72	2602
Assembly_B	Assembly_B_contig_73	2602
Assembly_B	Assembly_B_contig_74	2597
Assembly_B	Assembly_B_contig_75	2595
Assembly_B	Assembly_B_contig_76	2564
Assembly_B	Assembly_B_contig_77	2561
Assembly_B	Assembly_B_contig_78	2546
Assembly_B	Assembly_B_contig_79	2541
Assembly_B	Assembly_B_contig_80	2530
Assembly_B	Assembly_B_contig_81	2519
Assembly_B	Assembly_B_contig_82	2516
Assembly_C	Assembly_C_contig_1	29658
Assembly_C	Assembly_C_contig_2	28099
Assembly_C	Assembly_C_contig_3	25489
Assembly_C	Assembly_C_contig_4	17174
Assembly_C	Assembly_C_contig_5	15236
Assembly_C	Assembly_C_contig_6	14205
Assembly_C	Assembly_C_contig_7	12576
Assembly_C	Assembly_C_contig_8	10457
Assembly_C	Assembly_C_contig_9	10456
Assembly_C	Assembly_C_contig_10	10190
Assembly_C	Assembly_C_contig_11	9782
Assembly_C	Assembly_C_contig_12	8689
Assembly_C	Assembly_C_contig_13	8408
Assembly_C	Assembly_C_contig_14	7772
Assembly_C	Assembly_C_contig_15	7544
Assembly_C	Assembly_C_contig_16	7285
Assembly_C	Assembly_C_contig_17	7261
Assembly_C	Assembly_C_contig_18	7205
Assembly_C	Assembly_C_contig_19	7008
Assembly_C	Assembly_C_contig_20	6735
Assembly_C	Assembly_C_contig_21	6533
Assembly_C	Assembly_C_contig_22	6496
Assembly_C	Assembly_C_contig_23	6345
Assembly_C	Assembly_C_contig_24	6285
Assembly_C	Assembly_C_contig_25	6195
Assembly_C	Assembly_C_contig_26	6188
Assembly_C	Assembly_C_contig_27	6175
Assembly_C	Assembly_C_contig_28	6123
Assembly_C	Assembly_C_contig_29	5800
Assembly_C	Assembly_C_contig_30	5624
Assembly_C	Assembly_C_contig_31	5213
Assembly_C	Assembly_C_contig_32	5199
Assembly_C	Assembly_C_contig_33	5194
Assembly_C	Assembly_C_contig_34	5147
Assembly_C	Assembly_C_contig_35	5109
Assembly_C	Assembly_C_contig_36	5077
Assembly_C	Assembly_C_contig_37	5050
Assembly_C	Assembly_C_contig_38	4936
Assembly_C	Assembly_C_contig_39	4860
Assembly_C	Assembly_C_contig_40	4815
Assembly_C	Assembly_C_contig_41	4566
Assembly_C	Assembly_C_contig_42	4537
Assembly_C	Assembly_C_contig_43	4463
Assembly_C	Assembly_C_contig_44	4380
Assembly_C	Assembly_C_contig_45	4374
Assembly_C	Assembly_C_contig_46	4351
Assembly_C	Assembly_C_contig_47	4349
Assembly_C	Assembly_C_contig_48	4275
Assembly_C	Assembly_C_contig_49	4083
Assembly_C	Assembly_C_contig_50	4013
Assembly_C	Assembly_C_contig_51	4004
Assembly_C	Assembly_C_contig_52	3907
Assembly_C	Assembly_C_contig_53	3841
Assembly_C	Assembly_C_contig_54	3764
Assembly_C	Assembly_C_contig_55	3746
Assembly_C	Assembly_C_contig_56	3659
Assembly_C	Assembly_C_contig_57	3649
Assembly_C	Assembly_C_contig_58	3622
Assembly_C	Assembly_C_contig_59	3573
Assembly_C	Assembly_C_contig_60	3562
Assembly_C	Assembly_C_contig_61	3529
Assembly_C	Assembly_C_contig_62	3496
Assembly_C	Assembly_C_contig_63	3492
Assembly_C	Assembly_C_contig_64	3488
Assembly_C	Assembly_C_contig_65	3481
Assembly_C	Assembly_C_contig_66	3466
Assembly_C	Assembly_C_contig_67	3446
Assembly_C	Assembly_C_contig_68	3355
Assembly_C	Assembly_C_contig_69	3291
Assembly_C	Assembly_C_contig_70	3263
Assembly_C	Assembly_C_contig_71	3241
Assembly_C	Assembly_C_contig_72	3161
Assembly_C	Assembly_C_contig_73	3153
Assembly_C	Assembly_C_contig_74	3125
Assembly_C	Assembly_C_contig_75	3087
Assembly_C	Assembly_C_contig_76	3077
Assembly_C	Assembly_C_contig_77	3074
Assembly_C	Assembly_C_contig_78	3058
Assembly_C	Assembly_C_contig_79	2982
Assembly_C	Assembly_C_contig_80	2978
Assembly_C	Assembly_C_contig_81	2972
Assembly_C	Assembly_C_contig_82	2896
Assembly_C	Assembly_C_contig_83	2848
Assembly_C	Assembly_C_contig_84	2846
Assembly_C	Assembly_C_contig_85	2830
Assembly_C	Assembly_C_contig_86	2819
Assembly_C	Assembly_C_contig_87	2781
Assembly_C	Assembly_C_contig_88	2780
Assembly_C	Assembly_C_contig_89	2769
Assembly_C	Assembly_C_contig_90	2762
Assembly_C	Assembly_C_contig_91	2726
Assembly_C	Assembly_C_contig_92	2713
Assembly_C	Assembly_C_contig_93	2712
Assembly_C	Assembly_C_contig_94	2705
Assembly_C	Assembly_C_contig_95	2704
Assembly_C	Assembly_C_contig_96	2694
Assembly_C	Assembly_C_contig_97	2625
Assembly_C	Assembly_C_contig_98	2618
Assembly_C	Assembly_C_contig_99	2606
Assembly_C	Assembly_C_contig_100	2590
Assembly_C	Assembly_C_contig_101	2565
Assembly_C	Assembly_C_contig_102	2557
Assembly_C	Assembly_C_contig_103	2543
Assembly_C	Assembly_C_contig_104	2538
Assembly_C	Assembly_C_contig_105	2533
Assembly_C	Assembly_C_contig_106	2525
Assembly_C	Assembly_C_contig_107	2514
